,state_or_country,region,subregion,housing_category,post_id,repost_of_post_id,title,url,date_posted,time_posted,price,location,post_has_image,post_has_geotag,bedrooms,area
2546,california,sfbay,pen,apts & housing for rent,7160613269,None,Price Reduced!!! Upstairs 2/1 with Sunny Private Balcony!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-price-reduced-upstairs-2/7160613269.html,2020-07-16 00:00:00,1900-01-01 15:00:00,2300,mountain view,True,None,2,825ft2
2547,california,sfbay,pen,apts & housing for rent,7161030650,None,Reduced Price 2/1!!  Come See It Today!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-reduced-price-2-1-come/7161030650.html,2020-07-17 00:00:00,1900-01-01 10:32:00,2300,mountain view,True,None,2,825ft2
2548,california,sfbay,pen,apts & housing for rent,7161033731,None,Bright Downstairs 2/1 with Move In Bonus!!!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-bright-downstairs-2-1/7161033731.html,2020-07-17 00:00:00,1900-01-01 10:36:00,2300,mountain view,True,None,2,825ft2
2549,california,sfbay,pen,apts & housing for rent,7161040447,None,Upstairs 2/1 with Sunset View!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-upstairs-2-1-with-sunset/7161040447.html,2020-07-17 00:00:00,1900-01-01 10:44:00,2300,mountain view,True,None,2,825ft2
2551,california,sfbay,pen,apts & housing for rent,7161654361,None,Bright Downstairs 2/1 In Front of Pool!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-bright-downstairs-2-1-in/7161654361.html,2020-07-18 00:00:00,1900-01-01 11:05:00,2300,mountain view,True,None,2,825ft2
2552,california,sfbay,pen,apts & housing for rent,7161656893,None,PRICE REDUCED!!!  Bright Downstairs 2/1,https://sfbay.craigslist.org/sby/apa/d/mountain-view-price-reduced-bright/7161656893.html,2020-07-18 00:00:00,1900-01-01 11:08:00,2300,mountain view,True,None,2,825ft2
2553,california,sfbay,pen,apts & housing for rent,7161681814,None,Upstairs 2/1 with Sunset View!,https://sfbay.craigslist.org/sby/apa/d/mountain-view-upstairs-2-1-with-sunset/7161681814.html,2020-07-18 00:00:00,1900-01-01 11:42:00,2300,mountain view,True,None,2,825ft2
2590,california,sfbay,pen,apts & housing for rent,7161067479,None,***Duplex Home 2BR/1BA with Big Yard,https://sfbay.craigslist.org/sby/apa/d/mountain-view-duplex-home-2br-1ba-with/7161067479.html,2020-07-17 00:00:00,1900-01-01 11:41:00,2700,mountain view,True,None,2,950ft2
2910,california,sfbay,pen,apts & housing for rent,7161187238,None,No one Above you- Beautiful Bright Corner Unit! Schedule a Tour Now!,https://sfbay.craigslist.org/pen/apa/d/belmont-no-one-above-you-beautiful/7161187238.html,2020-07-17 00:00:00,1900-01-01 14:07:00,2550,belmont,True,None,2,975ft2
2912,california,sfbay,pen,apts & housing for rent,7154647447,None,AVAILABLE NOW Quiet Bright and Spacious 2 Bedroom 1 Bath near Waterdog,https://sfbay.craigslist.org/pen/apa/d/belmont-available-now-quiet-bright-and/7154647447.html,2020-07-17 00:00:00,1900-01-01 05:20:00,2500,belmont,True,None,2,None
2914,california,sfbay,pen,apts & housing for rent,7160147684,None,Apt home available now at Beautiful Belmont - 3rd month FREE w/12 mo,https://sfbay.craigslist.org/pen/apa/d/belmont-apt-home-available-now-at/7160147684.html,2020-07-15 00:00:00,1900-01-01 20:31:00,2795,belmont,True,None,2,None
2940,california,sfbay,pen,apts & housing for rent,7159294569,None,PRICE REDUCED ONE MONTH FREE VAULTED CEILINGS,https://sfbay.craigslist.org/pen/apa/d/mountain-view-price-reduced-one-month/7159294569.html,2020-07-14 00:00:00,1900-01-01 12:02:00,2725,mountain view,True,None,2,965ft2
2941,california,sfbay,pen,apts & housing for rent,7160343551,None,2 BDRM ONE MONTH FREE,https://sfbay.craigslist.org/pen/apa/d/mountain-view-2-bdrm-one-month-free/7160343551.html,2020-07-16 00:00:00,1900-01-01 08:41:00,2725,mountain view,True,None,2,965ft2
2945,california,sfbay,pen,apts & housing for rent,7159479354,None,ONE MONTH FREE SPECIAL,https://sfbay.craigslist.org/pen/apa/d/mountain-view-one-month-free-special/7159479354.html,2020-07-14 00:00:00,1900-01-01 17:07:00,2725,mountain view,True,None,2,965ft2
6,california,sfbay,pen,apts & housing for rent,7156387427,7108874184,Prime Menlo Park Location! | 1035 Laurel St #4,https://sfbay.craigslist.org/pen/apa/d/menlo-park-prime-menlo-park-location/7156387427.html,2020-07-17 00:00:00,1900-01-01 11:27:00,2750,menlo park,True,None,2,None
211,california,sfbay,pen,apts & housing for rent,7156239221,7115307533,Spacious Townhouse Style 2BR Apartment in Menlo Park,https://sfbay.craigslist.org/pen/apa/d/menlo-park-spacious-townhouse-style-2br/7156239221.html,2020-07-17 00:00:00,1900-01-01 13:39:00,2650,menlo park,True,None,2,None
